x,y,series
0,0.5752,cmp_a
1,0.8524,cmp_a
2,1.2269,cmp_a
3,1.3666,cmp_a
4,1.5882,cmp_a
5,1.5818,cmp_a
6,1.5688,cmp_a
7,1.657,cmp_a
8,1.6722,cmp_a
0,0.3417,cmp_b
1,0.5583,cmp_b
2,0.6848,cmp_b
3,1.0145,cmp_b
4,1.1416,cmp_b
5,1.2849,cmp_b
6,1.3806,cmp_b
7,1.3868,cmp_b
8,1.3498,cmp_b
0,0.6219,cmp_c
1,0.8763,cmp_c
2,0.8651,cmp_c
3,1.1073,cmp_c
4,1.0799,cmp_c
5,1.3233,cmp_c
6,1.2531,cmp_c
7,1.3185,cmp_c
8,1.3191,cmp_c
0,0.3075,cmp_d
1,0.574,cmp_d
2,0.7497,cmp_d
3,0.9487,cmp_d
4,1.3114,cmp_d
5,1.5326,cmp_d
6,1.6584,cmp_d
7,1.6702,cmp_d
8,1.8036,cmp_d
0,0.4347,cmp_e
1,0.5651,cmp_e
2,0.7608,cmp_e
3,0.8639,cmp_e
4,0.9696,cmp_e
5,0.9261,cmp_e
6,1.0749,cmp_e
7,1.0447,cmp_e
8,1.2043,cmp_e
