date,site
2020-02-04,UP
2020-02-04,ES
2020-02-04,MR
2020-03-12,UP
2020-03-12,AG
2020-03-12,UR
2020-03-12,MR
2020-04-17,UP
2020-04-17,UR
2020-05-25,UP
2020-05-25,UR
2020-05-25,ES
2020-07-01,AG
2020-07-01,UR
2020-07-01,ES
2020-07-01,MR
2020-08-06,UP
2020-08-06,MR
2020-09-11,UP
2020-09-11,FR
2020-09-11,ES
2020-10-18,FR
2020-10-18,AG
2020-10-18,ES
2020-10-18,MR
2020-11-21,UP
2020-11-21,ES
2020-12-16,FR
2020-12-16,AG
2020-12-16,ES
2021-02-04,AG
2021-02-04,UR
2021-02-04,ES
2021-03-13,FR
2021-03-13,AG
2021-04-18,UP
2021-04-18,FR
2021-04-18,UR
2021-05-26,UP
2021-05-26,FR
2021-05-26,AG
2021-07-02,UP
2021-08-07,UP
2021-08-07,FR
2021-08-07,AG
2021-09-12,AG
2021-09-12,UR
2021-09-12,ES
2021-10-19,UR
2021-11-22,FR
2021-11-22,AG
2021-12-17,AG
2021-12-17,UR
2021-12-17,ES
2022-02-04,FR
2022-02-04,MR
2022-03-13,UP
2022-03-13,FR
2022-03-13,AG
2022-04-18,UP
2022-04-18,FR
2022-04-18,AG
2022-04-18,MR
2022-05-26,FR
2022-05-26,UR
2022-07-02,FR
2022-07-02,UR
2022-07-02,ES
2022-08-07,UP
2022-08-07,AG
2022-08-07,UR
2022-08-07,MR
2022-09-12,ES
2022-09-12,MR
2022-10-19,FR
2022-10-19,AG
2022-10-19,UR
2022-11-22,UP
2022-11-22,FR
2022-11-22,AG
2022-11-22,UR
2022-12-17,FR
2022-12-17,UR
2023-02-04,UP
2023-02-04,UR
2023-02-04,MR
2023-03-13,FR
2023-03-13,UR
2023-03-13,ES
2023-03-13,MR
2023-04-18,FR
2023-04-18,UR
2023-05-26,UP
2023-05-26,UR
2023-05-26,MR
2023-07-02,UP
2023-07-02,UR
2023-07-02,ES
2023-08-07,FR
2023-08-07,AG
2023-09-12,FR
2023-09-12,ES
2023-10-19,UP
2023-10-19,AG
2023-10-19,UR
2023-10-19,MR
2023-11-22,FR
2023-11-22,ES
2023-12-17,FR
2023-12-17,ES
2023-12-17,MR
2024-02-04,UP
2024-02-04,AG
2024-02-04,ES
2024-02-04,MR
2024-03-12,UP
2024-03-12,AG
2024-04-17,FR
2024-04-17,AG
2024-04-17,MR
2024-05-25,UP
2024-05-25,UR
2024-05-25,ES
2024-05-25,MR
2024-07-01,UP
2024-07-01,MR
2024-08-06,UP
2024-08-06,AG
2024-08-06,ES
2024-09-11,FR
2024-09-11,UR
2024-09-11,ES
2024-09-11,MR
2024-10-18,UP
2024-10-18,AG
2024-11-21,UP
2024-11-21,FR
2024-11-21,ES
2024-12-16,AG
2024-12-16,UR
2024-12-16,ES
2024-12-16,MR
