x,early_up,early_down,transient_up,transient_down,oscillatory,late_switch
0,2.4389,-2.0188,-0.1754,0.1636,-0.0275,-0.8366
0.5,2.3429,-1.9369,0.2734,-0.1099,0.0665,-0.7791
1,2.1556,-1.8338,0.6137,-0.3009,0.2138,-0.7875
2,1.9369,-1.639,1.1249,-0.6902,0.3383,-0.676
4,1.5165,-1.3666,1.7241,-1.1973,0.623,-0.5317
6,1.231,-1.1457,1.8729,-1.3772,0.8428,-0.4429
8,0.9601,-0.9295,1.7751,-1.4554,0.9392,-0.2927
12,0.603,-0.621,1.2974,-1.3109,0.8581,-0.1398
18,0.2371,-0.3598,0.679,-0.8839,0.2794,0.1314
24,0.0504,-0.1385,0.2738,-0.4778,-0.3441,0.2734
36,-0.0185,-0.0306,-0.0912,-0.0554,-0.2943,0.5208
48,-0.0557,0.0867,-0.145,0.1442,0.2571,0.6889
72,-0.104,0.0828,-0.1512,0.1816,-0.1795,0.8042
