group,value,series
headwater,0.9389,observations
headwater,1.0772,observations
headwater,1.0914,observations
headwater,1.1378,observations
headwater,0.9975,observations
headwater,1.0144,observations
headwater,0.9383,observations
headwater,1.1385,observations
headwater,1.1161,observations
riffle,1.3059,observations
riffle,1.3319,observations
riffle,1.4659,observations
riffle,1.5842,observations
riffle,1.1606,observations
riffle,1.3347,observations
riffle,1.1794,observations
riffle,1.3353,observations
riffle,1.3619,observations
deep pool,0.8768,observations
deep pool,1.1118,observations
deep pool,0.8244,observations
deep pool,0.6139,observations
deep pool,0.6739,observations
deep pool,0.9816,observations
deep pool,0.7615,observations
deep pool,0.6197,observations
deep pool,0.9164,observations
side channel,1.2805,observations
side channel,1.5496,observations
side channel,1.4908,observations
side channel,1.3251,observations
side channel,1.4486,observations
side channel,1.5201,observations
side channel,1.5426,observations
side channel,1.559,observations
side channel,1.6038,observations
floodplain,1.3566,observations
floodplain,1.0073,observations
floodplain,1.2272,observations
floodplain,0.8582,observations
floodplain,1.2208,observations
floodplain,1.1221,observations
floodplain,1.406,observations
floodplain,1.2686,observations
floodplain,1.6031,observations
wet meadow,1.1536,observations
wet meadow,1.2363,observations
wet meadow,1.286,observations
wet meadow,1.2561,observations
wet meadow,1.2594,observations
wet meadow,1.3397,observations
wet meadow,1.3542,observations
wet meadow,1.1713,observations
wet meadow,1.1934,observations
tidal creek,1.6022,observations
tidal creek,1.7945,observations
tidal creek,1.794,observations
tidal creek,1.813,observations
tidal creek,1.5335,observations
tidal creek,1.9924,observations
tidal creek,1.7463,observations
tidal creek,1.5352,observations
tidal creek,1.6688,observations
mudflat,1.4526,observations
mudflat,0.8809,observations
mudflat,0.9931,observations
mudflat,1.0091,observations
mudflat,1.2398,observations
mudflat,0.8059,observations
mudflat,1.0404,observations
mudflat,0.9412,observations
mudflat,0.907,observations
seagrass bed,1.8192,observations
seagrass bed,1.8657,observations
seagrass bed,1.7616,observations
seagrass bed,1.8871,observations
seagrass bed,1.8587,observations
seagrass bed,1.6784,observations
seagrass bed,1.6837,observations
seagrass bed,1.7216,observations
seagrass bed,1.744,observations
open estuary,1.5307,observations
open estuary,1.4754,observations
open estuary,1.5603,observations
open estuary,1.3922,observations
open estuary,1.5361,observations
open estuary,1.325,observations
open estuary,1.1915,observations
open estuary,1.1561,observations
open estuary,1.7027,observations
