habitat_key,habitat,observation,response_index,response_band,band_definition
headwater,Headwater,1,0.9453,Low,0.65–0.94
headwater,Headwater,2,1.0892,Moderate,0.95–1.24
headwater,Headwater,3,1.104,Moderate,0.95–1.24
headwater,Headwater,4,1.1523,Moderate,0.95–1.24
headwater,Headwater,5,1.0063,Moderate,0.95–1.24
headwater,Headwater,6,1.0239,Moderate,0.95–1.24
headwater,Headwater,7,0.9447,Low,0.65–0.94
headwater,Headwater,8,1.153,Moderate,0.95–1.24
headwater,Headwater,9,1.1297,Moderate,0.95–1.24
headwater,Headwater,10,1.0564,Moderate,0.95–1.24
headwater,Headwater,11,1.0666,Moderate,0.95–1.24
headwater,Headwater,12,1.1188,Moderate,0.95–1.24
headwater,Headwater,13,1.1649,Moderate,0.95–1.24
headwater,Headwater,14,0.9998,Moderate,0.95–1.24
headwater,Headwater,15,1.0677,Moderate,0.95–1.24
headwater,Headwater,16,1.0071,Moderate,0.95–1.24
headwater,Headwater,17,1.0679,Moderate,0.95–1.24
headwater,Headwater,18,1.0782,Moderate,0.95–1.24
headwater,Headwater,19,1.0731,Moderate,0.95–1.24
headwater,Headwater,20,1.1658,Moderate,0.95–1.24
headwater,Headwater,21,1.0525,Moderate,0.95–1.24
headwater,Headwater,22,0.9694,Moderate,0.95–1.24
headwater,Headwater,23,0.9931,Moderate,0.95–1.24
headwater,Headwater,24,1.1145,Moderate,0.95–1.24
headwater,Headwater,25,1.0277,Moderate,0.95–1.24
headwater,Headwater,26,0.9717,Moderate,0.95–1.24
headwater,Headwater,27,1.0888,Moderate,0.95–1.24
headwater,Headwater,28,0.8225,Low,0.65–0.94
headwater,Headwater,29,1.0307,Moderate,0.95–1.24
headwater,Headwater,30,0.9852,Moderate,0.95–1.24
riffle,Riffle,1,1.0263,Moderate,0.95–1.24
riffle,Riffle,2,1.1817,Moderate,0.95–1.24
riffle,Riffle,3,1.2716,Elevated,1.25–1.54
riffle,Riffle,4,1.2999,Elevated,1.25–1.54
riffle,Riffle,5,1.3205,Elevated,1.25–1.54
riffle,Riffle,6,1.3768,Elevated,1.25–1.54
riffle,Riffle,7,1.5056,Elevated,1.25–1.54
riffle,Riffle,8,1.2183,Moderate,0.95–1.24
riffle,Riffle,9,1.3992,Elevated,1.25–1.54
riffle,Riffle,10,1.0957,Moderate,0.95–1.24
riffle,Riffle,11,1.3939,Elevated,1.25–1.54
riffle,Riffle,12,1.3127,Elevated,1.25–1.54
riffle,Riffle,13,1.5462,Elevated,1.25–1.54
riffle,Riffle,14,1.4332,Elevated,1.25–1.54
riffle,Riffle,15,1.7083,High,1.55–1.84
riffle,Riffle,16,1.1866,Moderate,0.95–1.24
riffle,Riffle,17,1.3102,Elevated,1.25–1.54
riffle,Riffle,18,1.3844,Elevated,1.25–1.54
riffle,Riffle,19,1.3398,Elevated,1.25–1.54
riffle,Riffle,20,1.3448,Elevated,1.25–1.54
riffle,Riffle,21,1.4646,Elevated,1.25–1.54
riffle,Riffle,22,1.4864,Elevated,1.25–1.54
riffle,Riffle,23,1.213,Moderate,0.95–1.24
riffle,Riffle,24,1.246,Moderate,0.95–1.24
riffle,Riffle,25,1.1585,Moderate,0.95–1.24
riffle,Riffle,26,1.3644,Elevated,1.25–1.54
riffle,Riffle,27,1.3639,Elevated,1.25–1.54
riffle,Riffle,28,1.3842,Elevated,1.25–1.54
riffle,Riffle,29,1.085,Moderate,0.95–1.24
riffle,Riffle,30,1.5763,High,1.55–1.84
deep_pool,Deep pool,1,0.7844,Low,0.65–0.94
deep_pool,Deep pool,2,0.4889,Very low,0.30–0.64
deep_pool,Deep pool,3,0.676,Low,0.65–0.94
deep_pool,Deep pool,4,1.099,Moderate,0.95–1.24
deep_pool,Deep pool,5,0.6756,Low,0.65–0.94
deep_pool,Deep pool,6,0.7587,Low,0.65–0.94
deep_pool,Deep pool,7,0.7705,Low,0.65–0.94
deep_pool,Deep pool,8,0.9414,Low,0.65–0.94
deep_pool,Deep pool,9,0.6201,Very low,0.30–0.64
deep_pool,Deep pool,10,0.7938,Low,0.65–0.94
deep_pool,Deep pool,11,0.7203,Low,0.65–0.94
deep_pool,Deep pool,12,0.695,Low,0.65–0.94
deep_pool,Deep pool,13,0.8925,Low,0.65–0.94
deep_pool,Deep pool,14,0.9847,Moderate,0.95–1.24
deep_pool,Deep pool,15,0.7784,Low,0.65–0.94
deep_pool,Deep pool,16,1.0273,Moderate,0.95–1.24
deep_pool,Deep pool,17,0.9709,Moderate,0.95–1.24
deep_pool,Deep pool,18,0.6132,Very low,0.30–0.64
deep_pool,Deep pool,19,0.6237,Very low,0.30–0.64
deep_pool,Deep pool,20,0.699,Low,0.65–0.94
deep_pool,Deep pool,21,0.7434,Low,0.65–0.94
deep_pool,Deep pool,22,0.9108,Low,0.65–0.94
deep_pool,Deep pool,23,0.872,Low,0.65–0.94
deep_pool,Deep pool,24,0.9316,Low,0.65–0.94
deep_pool,Deep pool,25,0.8137,Low,0.65–0.94
deep_pool,Deep pool,26,0.9146,Low,0.65–0.94
deep_pool,Deep pool,27,0.7666,Low,0.65–0.94
deep_pool,Deep pool,28,0.673,Low,0.65–0.94
deep_pool,Deep pool,29,0.6482,Very low,0.30–0.64
deep_pool,Deep pool,30,1.0313,Moderate,0.95–1.24
side_channel,Side channel,1,1.4101,Elevated,1.25–1.54
side_channel,Side channel,2,1.489,Elevated,1.25–1.54
side_channel,Side channel,3,1.6016,High,1.55–1.84
side_channel,Side channel,4,1.6442,High,1.55–1.84
side_channel,Side channel,5,1.7068,High,1.55–1.84
side_channel,Side channel,6,1.3784,Elevated,1.25–1.54
side_channel,Side channel,7,1.4666,Elevated,1.25–1.54
side_channel,Side channel,8,1.4529,Elevated,1.25–1.54
side_channel,Side channel,9,1.2929,Elevated,1.25–1.54
side_channel,Side channel,10,1.504,Elevated,1.25–1.54
side_channel,Side channel,11,1.3694,Elevated,1.25–1.54
side_channel,Side channel,12,1.5358,Elevated,1.25–1.54
side_channel,Side channel,13,1.3522,Elevated,1.25–1.54
side_channel,Side channel,14,1.4799,Elevated,1.25–1.54
side_channel,Side channel,15,1.5225,Elevated,1.25–1.54
side_channel,Side channel,16,1.3559,Elevated,1.25–1.54
side_channel,Side channel,17,1.4838,Elevated,1.25–1.54
side_channel,Side channel,18,1.379,Elevated,1.25–1.54
side_channel,Side channel,19,1.5248,Elevated,1.25–1.54
side_channel,Side channel,20,1.5849,High,1.55–1.84
side_channel,Side channel,21,1.4977,Elevated,1.25–1.54
side_channel,Side channel,22,1.3764,Elevated,1.25–1.54
side_channel,Side channel,23,1.466,Elevated,1.25–1.54
side_channel,Side channel,24,1.3836,Elevated,1.25–1.54
side_channel,Side channel,25,1.5285,Elevated,1.25–1.54
side_channel,Side channel,26,1.4305,Elevated,1.25–1.54
side_channel,Side channel,27,1.3247,Elevated,1.25–1.54
side_channel,Side channel,28,1.3497,Elevated,1.25–1.54
side_channel,Side channel,29,1.4477,Elevated,1.25–1.54
side_channel,Side channel,30,1.739,High,1.55–1.84
floodplain,Floodplain,1,1.5148,Elevated,1.25–1.54
floodplain,Floodplain,2,1.3193,Elevated,1.25–1.54
floodplain,Floodplain,3,1.0865,Moderate,0.95–1.24
floodplain,Floodplain,4,1.143,Moderate,0.95–1.24
floodplain,Floodplain,5,1.2559,Elevated,1.25–1.54
floodplain,Floodplain,6,1.1302,Moderate,0.95–1.24
floodplain,Floodplain,7,1.6375,High,1.55–1.84
floodplain,Floodplain,8,0.8906,Low,0.65–0.94
floodplain,Floodplain,9,0.9701,Moderate,0.95–1.24
floodplain,Floodplain,10,0.7478,Low,0.65–0.94
floodplain,Floodplain,11,0.8609,Low,0.65–0.94
floodplain,Floodplain,12,1.1691,Moderate,0.95–1.24
floodplain,Floodplain,13,1.299,Elevated,1.25–1.54
floodplain,Floodplain,14,0.5914,Very low,0.30–0.64
floodplain,Floodplain,15,0.9924,Moderate,0.95–1.24
floodplain,Floodplain,16,1.0456,Moderate,0.95–1.24
floodplain,Floodplain,17,1.1472,Moderate,0.95–1.24
floodplain,Floodplain,18,1.2789,Elevated,1.25–1.54
floodplain,Floodplain,19,1.1361,Moderate,0.95–1.24
floodplain,Floodplain,20,1.1241,Moderate,0.95–1.24
floodplain,Floodplain,21,0.8283,Low,0.65–0.94
floodplain,Floodplain,22,1.3843,Elevated,1.25–1.54
floodplain,Floodplain,23,1.3722,Elevated,1.25–1.54
floodplain,Floodplain,24,1.1739,Moderate,0.95–1.24
floodplain,Floodplain,25,1.696,High,1.55–1.84
floodplain,Floodplain,26,1.2633,Elevated,1.25–1.54
floodplain,Floodplain,27,1.2369,Moderate,0.95–1.24
floodplain,Floodplain,28,1.5614,High,1.55–1.84
floodplain,Floodplain,29,1.8132,High,1.55–1.84
floodplain,Floodplain,30,0.7813,Low,0.65–0.94
wet_meadow,Wet meadow,1,1.2693,Elevated,1.25–1.54
wet_meadow,Wet meadow,2,1.3723,Elevated,1.25–1.54
wet_meadow,Wet meadow,3,1.2102,Moderate,0.95–1.24
wet_meadow,Wet meadow,4,1.3125,Elevated,1.25–1.54
wet_meadow,Wet meadow,5,1.346,Elevated,1.25–1.54
wet_meadow,Wet meadow,6,1.3787,Elevated,1.25–1.54
wet_meadow,Wet meadow,7,1.3508,Elevated,1.25–1.54
wet_meadow,Wet meadow,8,1.1287,Moderate,0.95–1.24
wet_meadow,Wet meadow,9,1.3117,Elevated,1.25–1.54
wet_meadow,Wet meadow,10,1.1776,Moderate,0.95–1.24
wet_meadow,Wet meadow,11,1.1672,Moderate,0.95–1.24
wet_meadow,Wet meadow,12,1.3088,Elevated,1.25–1.54
wet_meadow,Wet meadow,13,1.33,Elevated,1.25–1.54
wet_meadow,Wet meadow,14,1.2693,Elevated,1.25–1.54
wet_meadow,Wet meadow,15,1.3422,Elevated,1.25–1.54
