date,site
2022-03-05,N2
2022-03-05,S2
2022-03-12,N1
2022-03-12,S2
2022-03-20,C1
2022-03-20,S2
2022-03-28,N2
2022-03-28,S2
2022-04-07,N1
2022-04-07,N2
2022-04-07,C1
2022-04-07,S1
2022-04-16,N2
2022-04-16,C1
2022-04-16,S1
2022-04-25,N1
2022-04-25,N2
2022-04-25,C1
2022-04-25,S2
2022-09-03,N1
2022-09-03,S1
2022-09-11,N1
2022-09-11,N2
2022-09-19,C1
2022-09-19,S1
2022-09-19,S2
2022-09-27,N1
2022-09-27,S1
2022-10-06,N1
2022-10-06,N2
2022-10-06,C1
2022-10-06,S1
2022-10-15,N1
2022-10-15,N2
2022-10-15,S1
2022-10-15,S2
2022-10-24,N1
2022-10-24,N2
2022-10-24,S1
2023-03-05,N1
2023-03-05,S1
2023-03-05,S2
2023-03-12,N1
2023-03-12,S2
2023-03-20,N1
2023-03-20,C1
2023-03-20,S1
2023-03-20,S2
2023-03-28,N2
2023-03-28,C1
2023-03-28,S1
2023-03-28,S2
2023-04-07,N1
2023-04-07,N2
2023-04-16,N1
2023-04-16,C1
2023-04-16,S2
2023-04-25,N2
2023-04-25,C1
2023-04-25,S1
2023-09-03,N2
2023-09-03,S2
2023-09-11,N1
2023-09-11,S2
2023-09-19,C1
2023-09-19,S2
2023-09-27,N2
2023-09-27,C1
2023-09-27,S1
2023-09-27,S2
2023-10-06,N2
2023-10-06,C1
2023-10-15,N1
2023-10-15,C1
2023-10-15,S1
2023-10-15,S2
2023-10-24,N1
2023-10-24,N2
2023-10-24,C1
2023-10-24,S1
2024-03-05,N1
2024-03-05,N2
2024-03-12,N1
2024-03-20,N2
2024-03-20,C1
2024-03-20,S1
2024-03-28,N1
2024-03-28,N2
2024-04-07,N1
2024-04-07,N2
2024-04-07,C1
2024-04-07,S1
2024-04-16,N1
2024-04-16,N2
2024-04-16,S1
2024-04-25,N2
2024-04-25,C1
2024-04-25,S1
2024-09-03,N1
2024-09-03,C1
2024-09-11,S1
2024-09-11,S2
2024-09-19,N1
2024-09-19,N2
2024-09-19,C1
2024-09-19,S2
2024-09-27,N1
2024-09-27,N2
2024-09-27,S1
2024-09-27,S2
2024-10-06,N2
2024-10-06,C1
2024-10-06,S1
2024-10-15,N1
2024-10-15,N2
2024-10-24,N1
2024-10-24,N2
2024-10-24,S1
2024-10-24,S2
2025-03-05,N1
2025-03-05,N2
2025-03-05,S1
2025-03-05,S2
2025-03-12,N1
2025-03-12,N2
2025-03-12,S1
2025-03-12,S2
2025-03-20,N2
2025-03-20,C1
2025-03-20,S1
2025-03-20,S2
2025-03-28,N2
2025-03-28,C1
2025-03-28,S2
2025-04-07,N1
2025-04-07,C1
2025-04-07,S2
2025-04-16,N1
2025-04-16,N2
2025-04-16,S2
2025-04-25,N1
2025-04-25,N2
2025-04-25,C1
2025-04-25,S1
2025-09-03,N2
2025-09-03,S1
2025-09-11,C1
2025-09-11,S1
2025-09-19,N1
2025-09-19,N2
2025-09-19,S2
2025-09-27,N1
2025-09-27,C1
2025-09-27,S1
2025-10-06,S1
2025-10-06,S2
2025-10-15,N2
2025-10-15,C1
2025-10-15,S1
2025-10-24,N1
2025-10-24,S2
