group,value,series
spring,0.5789,reference
spring,0.5785,reference
spring,0.7542,reference
spring,0.6068,reference
spring,0.7417,reference
spring,0.6192,reference
spring,0.6252,reference
spring,0.6447,reference
spring,0.6796,restored
spring,0.6848,restored
spring,0.6427,restored
spring,0.721,restored
spring,0.805,restored
spring,0.7553,restored
spring,0.7168,restored
spring,0.727,restored
summer,0.5191,reference
summer,0.4877,reference
summer,0.4274,reference
summer,0.4616,reference
summer,0.5102,reference
summer,0.4424,reference
summer,0.4703,reference
summer,0.5434,reference
summer,0.6789,restored
summer,0.5359,restored
summer,0.6857,restored
summer,0.5992,restored
summer,0.7173,restored
summer,0.6177,restored
summer,0.6896,restored
summer,0.7137,restored
autumn,0.4612,reference
autumn,0.5617,reference
autumn,0.5101,reference
autumn,0.5132,reference
autumn,0.6274,reference
autumn,0.5932,reference
autumn,0.4939,reference
autumn,0.4762,reference
autumn,0.7294,restored
autumn,0.6354,restored
autumn,0.616,restored
autumn,0.7443,restored
autumn,0.7147,restored
autumn,0.7506,restored
autumn,0.5746,restored
autumn,0.7819,restored
winter,0.4579,reference
winter,0.3793,reference
winter,0.3291,reference
winter,0.4261,reference
winter,0.458,reference
winter,0.3927,reference
winter,0.4004,reference
winter,0.4553,reference
winter,0.3494,restored
winter,0.4144,restored
winter,0.5046,restored
winter,0.4938,restored
winter,0.4593,restored
winter,0.4115,restored
winter,0.4996,restored
winter,0.4664,restored
