date,value
2024-01-15,10.1652
2024-02-04,10.0278
2024-02-24,9.8029
2024-03-15,8.2847
2024-03-27,8.6332
2024-04-16,8.1438
2024-05-06,6.4716
2024-05-26,5.6301
2024-06-07,4.8769
2024-06-27,2.8481
2024-07-17,2.9144
2024-08-06,4.5753
2024-08-18,4.7954
2024-09-07,5.6487
2024-09-27,6.3809
2024-10-17,6.4258
2024-10-29,7.6366
2024-11-18,8.4572
2024-12-08,9.4884
2024-12-28,9.7558
2025-01-09,8.5208
2025-01-29,9.6829
2025-02-18,9.3878
2025-03-10,9.3191
2025-03-22,8.0339
2025-04-11,7.5824
2025-05-01,6.6041
2025-05-21,5.948
