group,value,series
vehicle,1.1976,vehicle
vehicle,0.9734,vehicle
vehicle,1.0965,vehicle
vehicle,0.9891,vehicle
vehicle,0.9478,vehicle
vehicle,1.0601,vehicle
vehicle,0.9086,vehicle
vehicle,1.099,vehicle
vehicle,1.1899,vehicle
vehicle,1.0487,vehicle
low,0.9941,low
low,1.3819,low
low,0.8033,low
low,1.0776,low
low,1.2595,low
low,1.0733,low
low,1.2821,low
low,1.2244,low
low,1.3541,low
low,1.2726,low
medium,1.1601,medium
medium,1.4415,medium
medium,1.2975,medium
medium,1.2456,medium
medium,1.6527,medium
medium,1.4884,medium
medium,1.6686,medium
medium,1.3683,medium
medium,1.6395,medium
medium,1.6696,medium
high,1.9322,high
high,1.8291,high
high,1.7657,high
high,1.8113,high
high,2.2356,high
high,1.8095,high
high,2.2591,high
high,1.7609,high
high,2.203,high
high,1.5273,high
washout,1.3454,washout
washout,1.3527,washout
washout,1.2866,washout
washout,1.5487,washout
washout,1.0857,washout
washout,1.1702,washout
washout,1.1438,washout
washout,1.1248,washout
washout,1.2626,washout
washout,1.473,washout
