x,headwater,forest,agricultural,urban,estuary
0,0.12,0.18,0.28,0.34,0.2
1,0.17,0.22,0.39,0.58,0.24
2,0.25,0.3,0.61,0.92,0.31
3,0.42,0.49,0.91,1.31,0.45
4,0.66,0.72,1.22,1.63,0.62
5,0.88,0.95,1.49,1.82,0.8
6,1.04,1.15,1.68,1.89,0.99
7,1.12,1.25,1.72,1.77,1.18
8,1.06,1.18,1.61,1.55,1.33
9,0.91,1.01,1.42,1.32,1.41
10,0.74,0.83,1.18,1.11,1.38
11,0.59,0.66,0.96,0.94,1.29
12,0.47,0.52,0.78,0.8,1.16
13,0.39,0.43,0.65,0.69,1.03
14,0.33,0.36,0.54,0.6,0.9
15,0.29,0.31,0.46,0.53,0.78
16,0.25,0.27,0.4,0.47,0.68
17,0.22,0.24,0.36,0.43,0.59
