x,baseline,advance,delay,damped
0,0.5696,0.5754,0.9093,0.782
1,0.6829,0.5513,0.9982,0.8345
2,0.7939,0.5961,1.0878,0.9342
3,0.923,0.6679,1.1724,0.9976
4,1.012,0.7729,1.2273,1.0865
5,1.0901,0.8515,1.2896,1.1283
6,1.1855,0.974,1.3814,1.1538
7,1.2509,1.0827,1.4308,1.1928
8,1.285,1.1269,1.4929,1.2085
9,1.3618,1.195,1.5252,1.2225
10,1.443,1.2761,1.4925,1.2879
11,1.4745,1.3424,1.4777,1.3364
12,1.5168,1.3899,1.3745,1.3495
13,1.5114,1.4346,1.2308,1.4181
14,1.4818,1.4826,1.0749,1.4162
15,1.3875,1.5127,0.8834,1.3981
16,1.2691,1.5244,0.7171,1.3355
17,1.1041,1.479,0.5966,1.2696
18,0.9326,1.3804,0.4811,1.1199
19,0.7494,1.2535,0.4599,1.0096
20,0.6358,1.0841,0.4929,0.8926
21,0.5471,0.9166,0.5507,0.7921
22,0.5048,0.785,0.6638,0.7436
23,0.5288,0.6322,0.7907,0.7411
24,0.6032,0.5567,0.874,0.7824
