x,y,series
0,0.6696,inst_a
10,12.2473,inst_a
20,16.3886,inst_a
30,33.3126,inst_a
40,40.1817,inst_a
50,53.444,inst_a
60,64.2353,inst_a
70,70.1586,inst_a
80,81.0294,inst_a
90,90.8218,inst_a
0,4.684,inst_b
10,14.64,inst_b
20,17.8177,inst_b
30,35.0037,inst_b
40,40.9296,inst_b
50,51.3125,inst_b
60,57.2257,inst_b
70,70.7046,inst_b
80,79.0194,inst_b
90,83.4408,inst_b
0,-2.6414,inst_c
10,7.6176,inst_c
20,17.177,inst_c
30,30.01,inst_c
40,39.6405,inst_c
50,48.4927,inst_c
60,56.7676,inst_c
70,69.6608,inst_c
80,81.9019,inst_c
90,93.6061,inst_c
0,1.5557,inst_d
10,7.8365,inst_d
20,19.5529,inst_d
30,27.8617,inst_d
40,41.4674,inst_d
50,50.5586,inst_d
60,63.5468,inst_d
70,68.1253,inst_d
80,78.6755,inst_d
90,89.3376,inst_d
