group,value,series
lab_1,99.7391,lab_1
lab_1,100.6665,lab_1
lab_1,99.7471,lab_1
lab_1,99.658,lab_1
lab_1,99.5822,lab_1
lab_1,100.8096,lab_1
lab_1,99.3733,lab_1
lab_1,100.7662,lab_1
lab_1,100.0516,lab_1
lab_2,100.0261,lab_2
lab_2,101.5329,lab_2
lab_2,98.5544,lab_2
lab_2,98.8464,lab_2
lab_2,99.2892,lab_2
lab_2,99.3855,lab_2
lab_2,100.8624,lab_2
lab_2,99.1564,lab_2
lab_2,103.2242,lab_2
lab_3,99.3321,lab_3
lab_3,99.4135,lab_3
lab_3,101.0472,lab_3
lab_3,102.2889,lab_3
lab_3,96.7291,lab_3
lab_3,101.1882,lab_3
lab_3,101.0203,lab_3
lab_3,100.2797,lab_3
lab_3,98.1796,lab_3
lab_4,99.4731,lab_4
lab_4,99.6446,lab_4
lab_4,101.1026,lab_4
lab_4,100.2985,lab_4
lab_4,100.7333,lab_4
lab_4,100.5854,lab_4
lab_4,98.9827,lab_4
lab_4,100.0978,lab_4
lab_4,100.2105,lab_4
lab_5,97.5578,lab_5
lab_5,95.9808,lab_5
lab_5,99.4798,lab_5
lab_5,97.8509,lab_5
lab_5,101.7393,lab_5
lab_5,95.0729,lab_5
lab_5,100.2037,lab_5
lab_5,100.7372,lab_5
lab_5,96.4579,lab_5
lab_6,100.2998,lab_6
lab_6,97.5471,lab_6
lab_6,100.49,lab_6
lab_6,100.5882,lab_6
lab_6,97.3112,lab_6
lab_6,101.0849,lab_6
lab_6,97.3934,lab_6
lab_6,101.0708,lab_6
lab_6,97.432,lab_6
