x,y,series
4.4808,0.3869,north
8.5965,0.8955,north
12.4173,1.3815,north
16.4315,1.9537,north
19.7776,2.5626,north
24.4877,3.3234,north
28.1538,4.5502,north
32.0188,5.1758,north
35.9314,5.9105,north
40.3067,7.3231,north
43.2315,7.8773,north
47.5916,8.6107,north
4.4857,0.4381,central
8.5736,1.0676,central
12.5679,1.578,central
16.2363,2.3188,central
19.6927,3.0546,central
24.0863,4.2174,central
27.6763,5.02,central
32.6514,6.084,central
36.2228,6.6628,central
40.1238,8.0549,central
44.1068,9.684,central
47.8216,10.406,central
3.1203,0.2579,south
7.839,0.9893,south
12.1415,1.897,south
15.7492,2.5865,south
20.0194,3.3805,south
24.5674,4.7253,south
28.7812,5.8382,south
31.1739,6.5826,south
35.8665,7.9902,south
39.7031,9.2686,south
44.0104,10.4299,south
48.0343,11.6037,south
58.5,16.2,south
